blocksize,filesize,checksum,time,b/s
32768,5120000,004ec06e1c78c1d7a0495cc5274e8286,73,70136
65536,5120000,004ec06e1c78c1d7a0495cc5274e8286,17,301176
131072,5120000,004ec06e1c78c1d7a0495cc5274e8286,16,320000
524288,5120000,004ec06e1c78c1d7a0495cc5274e8286,23,222608
1048576,5120000,004ec06e1c78c1d7a0495cc5274e8286,18,284444
32768,51200000,0874115b332d711117fcb07c162677ed,186,275268
65536,51200000,0874115b332d711117fcb07c162677ed,161,318012
131072,51200000,0874115b332d711117fcb07c162677ed,162,316049
524288,51200000,0874115b332d711117fcb07c162677ed,175,292571
1048576,51200000,0874115b332d711117fcb07c162677ed,174,294252
32768,512000000,ed37efedbf2dbc6ea52f430cd43e56f1,6577,77847
65536,512000000,ed37efedbf2dbc6ea52f430cd43e56f1,1634,313341
131072,512000000,ed37efedbf2dbc6ea52f430cd43e56f1,1618,316440
524288,512000000,ed37efedbf2dbc6ea52f430cd43e56f1,1717,298194
1048576,512000000,ed37efedbf2dbc6ea52f430cd43e56f1,1759,291074
32768,5120000000,2bd3857f3aca9446654ed70079ce6bac,94543,54155
65536,5120000000,2bd3857f3aca9446654ed70079ce6bac,109573,46726
131072,5120000000,2bd3857f3aca9446654ed70079ce6bac,98170,52154
524288,5120000000,2bd3857f3aca9446654ed70079ce6bac,100342,51025
1048576,5120000000,2bd3857f3aca9446654ed70079ce6bac,98846,51797
